epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,26168.2,1.46369,0.3913,0.23048,0.31336,0.17162,0.1289,0.06935,1.07365,0.52448,0.14305,0.007921,0.007921,0.007921
44,26731.1,1.40465,0.41128,0.21594,0.2008,0.17055,0.13133,0.06834,1.08213,0.51077,0.14549,0.0078715,0.0078715,0.0078715
45,27285.4,1.3949,0.41693,0.21474,0.19902,0.1639,0.12822,0.06597,1.08479,0.50802,0.14915,0.007822,0.007822,0.007822
46,27840.1,1.3943,0.41438,0.21508,0.31428,0.17136,0.13691,0.07005,1.07491,0.51033,0.13982,0.0077725,0.0077725,0.0077725
47,28404.3,1.40254,0.40965,0.21414,0.21036,0.1776,0.13551,0.06911,1.06723,0.51067,0.13626,0.007723,0.007723,0.007723
48,28965.3,1.41583,0.40393,0.22303,0.31582,0.17683,0.13706,0.07125,1.05576,0.51889,0.13689,0.0076735,0.0076735,0.0076735
49,29528.4,1.41051,0.40332,0.21645,0.22051,0.17878,0.13684,0.07138,1.05334,0.51385,0.13587,0.007624,0.007624,0.007624
50,30091.1,1.36125,0.42516,0.20418,0.21617,0.18523,0.14827,0.07889,1.02008,0.52213,0.12769,0.0075745,0.0075745,0.0075745
51,30672,1.38519,0.40891,0.20978,0.2258,0.17406,0.14312,0.07302,1.07335,0.49245,0.13576,0.007525,0.007525,0.007525
52,31232.5,1.39304,0.40637,0.21331,0.22388,0.17667,0.1383,0.07217,1.07133,0.49421,0.13504,0.0074755,0.0074755,0.0074755
53,31787.1,1.39482,0.40948,0.21064,0.22799,0.18937,0.15171,0.07756,1.04597,0.51511,0.13241,0.007426,0.007426,0.007426
54,32350,1.38535,0.41025,0.20576,0.27081,0.18324,0.14546,0.07413,1.07024,0.49588,0.13662,0.0073765,0.0073765,0.0073765
55,32911.6,1.42678,0.39962,0.21747,0.29537,0.17128,0.14195,0.07336,1.0715,0.49521,0.13593,0.007327,0.007327,0.007327
56,33477.3,1.37159,0.4225,0.20703,0.24474,0.19236,0.1547,0.08042,1.02403,0.52355,0.12707,0.0072775,0.0072775,0.0072775
57,34029.6,1.37158,0.41022,0.20384,0.35172,0.19151,0.15669,0.08344,1.03318,0.50703,0.13052,0.007228,0.007228,0.007228
58,34584,1.37207,0.41607,0.20019,0.28042,0.19485,0.16303,0.08758,1.00369,0.52249,0.12408,0.0071785,0.0071785,0.0071785
59,35140,1.33015,0.42787,0.18808,0.35741,0.2075,0.16822,0.08862,1.00037,0.52027,0.12337,0.007129,0.007129,0.007129
60,35702.5,1.34062,0.42143,0.19309,0.36029,0.20153,0.16813,0.08744,1.00716,0.51556,0.12406,0.0070795,0.0070795,0.0070795
61,36263.9,1.31269,0.43165,0.18497,0.25715,0.20701,0.16875,0.08669,0.99689,0.52586,0.1193,0.00703,0.00703,0.00703
62,36825.2,1.34,0.42069,0.19719,0.35687,0.20252,0.16383,0.08571,1.02603,0.5033,0.12607,0.0069805,0.0069805,0.0069805
63,37390.4,1.30438,0.43793,0.1864,0.38076,0.2066,0.17168,0.09163,0.98182,0.52698,0.11921,0.006931,0.006931,0.006931
64,37959.7,1.33361,0.42366,0.18834,0.3739,0.20367,0.1706,0.09081,0.98872,0.52037,0.12218,0.0068815,0.0068815,0.0068815
65,38523.3,1.33478,0.42298,0.1929,0.31805,0.20558,0.17308,0.09235,0.99217,0.51679,0.12179,0.006832,0.006832,0.006832
66,39082.1,1.31351,0.4324,0.19026,0.36946,0.20732,0.16989,0.09013,1.0065,0.50983,0.12225,0.0067825,0.0067825,0.0067825
67,39636.9,1.41053,0.40544,0.2139,0.35406,0.2009,0.16303,0.08872,1.0182,0.51496,0.12819,0.006733,0.006733,0.006733
68,40193.6,1.33944,0.42069,0.19151,0.36586,0.21148,0.17287,0.09395,0.9791,0.52624,0.11775,0.0066835,0.0066835,0.0066835
69,40755.5,1.38513,0.39974,0.20041,0.37321,0.20581,0.17055,0.09102,1.00649,0.50731,0.12251,0.006634,0.006634,0.006634
70,41321.6,1.40483,0.39367,0.20093,0.35964,0.1937,0.16464,0.08747,1.02514,0.49934,0.12442,0.0065845,0.0065845,0.0065845
71,41882,1.41781,0.39664,0.20875,0.24923,0.18931,0.15567,0.08141,1.04012,0.49623,0.12743,0.006535,0.006535,0.006535
72,42436,1.43115,0.39757,0.21981,0.26184,0.19019,0.1521,0.07381,1.07801,0.49426,0.13056,0.0064855,0.0064855,0.0064855
73,43006.9,1.32782,0.42987,0.18864,0.30045,0.2101,0.17473,0.0926,0.99483,0.52087,0.1199,0.006436,0.006436,0.006436
74,43560.9,1.30902,0.42794,0.18451,0.31031,0.20779,0.1792,0.09624,0.97332,0.51865,0.11665,0.0063865,0.0063865,0.0063865
75,44124.3,1.45108,0.39278,0.22363,0.32974,0.18775,0.14802,0.07655,1.06864,0.49165,0.1332,0.006337,0.006337,0.006337
76,44687.2,1.28447,0.44564,0.1864,0.34248,0.21516,0.17116,0.0926,0.98936,0.52487,0.12112,0.0062875,0.0062875,0.0062875
77,45251.4,1.27311,0.444,0.1766,0.36913,0.22111,0.18224,0.09977,0.94892,0.53587,0.11405,0.006238,0.006238,0.006238
78,45811.1,1.29808,0.42891,0.17828,0.35291,0.21916,0.184,0.09938,0.96499,0.52215,0.11438,0.0061885,0.0061885,0.0061885
79,46371.9,1.3177,0.42305,0.18427,0.34686,0.21731,0.18699,0.10086,0.97509,0.51296,0.11733,0.006139,0.006139,0.006139
80,46937.7,1.27858,0.43881,0.1773,0.36499,0.22298,0.19096,0.10542,0.94751,0.5288,0.11243,0.0060895,0.0060895,0.0060895
81,47500.4,1.32221,0.41696,0.18395,0.37802,0.21742,0.18841,0.10128,0.96945,0.51351,0.11547,0.00604,0.00604,0.00604
82,48052.1,1.29366,0.43388,0.1795,0.37258,0.21968,0.18652,0.10108,0.949,0.52302,0.11098,0.0059905,0.0059905,0.0059905
83,48618.1,1.2493,0.44376,0.17041,0.35505,0.22372,0.19078,0.10343,0.9481,0.52156,0.11032,0.005941,0.005941,0.005941
84,49180.3,1.38315,0.39932,0.20199,0.30258,0.2069,0.181,0.09865,0.97901,0.5042,0.11412,0.0058915,0.0058915,0.0058915
85,49735.4,1.34131,0.41349,0.18916,0.3652,0.21635,0.18829,0.10012,0.9817,0.50911,0.11558,0.005842,0.005842,0.005842
86,50294.8,1.35893,0.40993,0.1882,0.38244,0.21219,0.18429,0.09953,0.9931,0.50212,0.1146,0.0057925,0.0057925,0.0057925
87,50852.6,1.40606,0.401,0.20177,0.36994,0.20706,0.17528,0.0928,1.03413,0.4887,0.1232,0.005743,0.005743,0.005743
88,51405.2,1.34727,0.41991,0.19261,0.38344,0.21742,0.18761,0.10216,0.98005,0.51086,0.11778,0.0056935,0.0056935,0.0056935
89,51955.1,1.42012,0.41378,0.20964,0.37556,0.19804,0.17341,0.09471,0.99652,0.51315,0.11891,0.005644,0.005644,0.005644
90,52513.8,1.29053,0.43133,0.17854,0.2879,0.21573,0.18622,0.10203,0.96643,0.51841,0.11475,0.0055945,0.0055945,0.0055945
91,53224.5,1.23213,0.45151,0.16569,0.34287,0.22042,0.18948,0.10436,0.94744,0.5235,0.11018,0.005545,0.005545,0.005545
92,53784.5,1.27571,0.43457,0.17614,0.34926,0.22368,0.19478,0.10714,0.93757,0.52717,0.10779,0.0054955,0.0054955,0.0054955
93,54346.9,1.1923,0.46284,0.15813,0.3499,0.22996,0.1995,0.11023,0.92463,0.53168,0.10599,0.005446,0.005446,0.005446
94,54908.3,1.19716,0.45587,0.15574,0.34786,0.2324,0.19923,0.10849,0.93558,0.52582,0.10647,0.0053965,0.0053965,0.0053965
95,55468.3,1.33036,0.41596,0.18626,0.33541,0.23167,0.20394,0.11223,0.92961,0.52186,0.10778,0.005347,0.005347,0.005347
96,56033.1,1.17639,0.46907,0.15418,0.36625,0.24002,0.20734,0.11551,0.91031,0.53406,0.1063,0.0052975,0.0052975,0.0052975
97,56595.2,1.19314,0.45821,0.15578,0.37811,0.23973,0.20982,0.11597,0.90614,0.53717,0.1047,0.005248,0.005248,0.005248
98,57147.3,1.22182,0.44093,0.15834,0.37003,0.24149,0.20995,0.11479,0.91645,0.5293,0.10499,0.0051985,0.0051985,0.0051985
99,57711,1.24301,0.44191,0.16372,0.36642,0.24318,0.21088,0.11599,0.91178,0.52977,0.10449,0.005149,0.005149,0.005149
100,58264.7,1.24118,0.44097,0.16382,0.36887,0.24091,0.21104,0.11641,0.91198,0.52873,0.10492,0.0050995,0.0050995,0.0050995
101,58826.8,1.346,0.40763,0.184,0.38711,0.23446,0.20735,0.11434,0.92664,0.52155,0.10654,0.00505,0.00505,0.00505
102,59390.4,1.40487,0.39642,0.20131,0.37991,0.22886,0.19948,0.10804,0.94697,0.51257,0.10874,0.0050005,0.0050005,0.0050005
103,59953.7,1.34617,0.42336,0.18793,0.39232,0.21901,0.19416,0.10545,0.95388,0.51381,0.10996,0.004951,0.004951,0.004951
104,60514.4,1.21726,0.45173,0.15885,0.3945,0.22932,0.20482,0.11341,0.92977,0.52442,0.10751,0.0049015,0.0049015,0.0049015
105,61076.4,1.24416,0.43711,0.1604,0.385,0.23428,0.20953,0.11676,0.91627,0.52791,0.1059,0.004852,0.004852,0.004852
106,61626.4,1.48599,0.37205,0.22751,0.42575,0.23111,0.20763,0.11521,0.92106,0.52102,0.10628,0.0048025,0.0048025,0.0048025
107,62185.6,1.32752,0.41769,0.18109,0.42597,0.23086,0.20824,0.11463,0.92914,0.51844,0.10717,0.004753,0.004753,0.004753
108,62744.4,1.3435,0.42042,0.18204,0.42347,0.23373,0.20804,0.11409,0.92597,0.52199,0.10708,0.0047035,0.0047035,0.0047035
109,63307.9,1.29818,0.42764,0.17253,0.42206,0.2394,0.21212,0.11628,0.92058,0.52544,0.10591,0.004654,0.004654,0.004654
110,63867.2,1.41492,0.38452,0.19593,0.41039,0.23862,0.21309,0.1144,0.92973,0.52226,0.1072,0.0046045,0.0046045,0.0046045
111,64423.4,1.40588,0.39179,0.19074,0.36002,0.23917,0.21217,0.11249,0.94011,0.51959,0.10842,0.004555,0.004555,0.004555
112,64987,1.47396,0.36074,0.19321,0.3947,0.23383,0.20582,0.10775,0.96947,0.50185,0.1118,0.0045055,0.0045055,0.0045055
113,65546.5,1.49288,0.35663,0.20013,0.38262,0.22831,0.19756,0.10367,0.99811,0.4862,0.11449,0.004456,0.004456,0.004456
114,66108.5,1.17227,0.46092,0.15044,0.35977,0.22441,0.19392,0.10122,1.00545,0.48717,0.11258,0.0044065,0.0044065,0.0044065
115,66672.3,1.1861,0.45492,0.14906,0.34233,0.22056,0.19152,0.09935,1.0089,0.4919,0.11146,0.004357,0.004357,0.004357
116,67232.9,1.28026,0.41708,0.1653,0.35784,0.2224,0.19387,0.10095,1.00085,0.49282,0.11065,0.0043075,0.0043075,0.0043075
117,67796.2,1.45308,0.35967,0.19521,0.36619,0.22536,0.1977,0.10363,0.99651,0.48634,0.11116,0.004258,0.004258,0.004258
118,68352.8,1.29904,0.42523,0.18028,0.37238,0.23549,0.2057,0.10998,0.97736,0.49152,0.10932,0.0042085,0.0042085,0.0042085
119,68916.7,1.2598,0.42645,0.16403,0.37531,0.23535,0.20624,0.11122,0.97378,0.49131,0.10889,0.004159,0.004159,0.004159
120,69481.4,1.36192,0.38522,0.17612,0.36696,0.23535,0.20469,0.1075,0.98571,0.49299,0.1099,0.0041095,0.0041095,0.0041095
121,70049.2,1.6533,0.30644,0.22578,0.35142,0.22825,0.19763,0.10064,1.02302,0.48095,0.11338,0.00406,0.00406,0.00406
122,70613,1.35882,0.39833,0.17161,0.33059,0.22158,0.18996,0.09542,1.04611,0.47557,0.11433,0.0040105,0.0040105,0.0040105
123,71176.6,1.17492,0.45407,0.14571,0.28453,0.21435,0.1771,0.08589,1.07962,0.47173,0.11504,0.003961,0.003961,0.003961
124,71748.1,1.12114,0.47141,0.14023,0.27326,0.21043,0.17072,0.07904,1.09872,0.47181,0.11454,0.0039115,0.0039115,0.0039115
